Experiment,Best Model,Accuracy,Weighted F1,Macro F1,ROC AUC,MCC,Specificity
Experiment A (Original Logits),XGBoost,0.5256,0.5249206020450103,0.524671524814841,0.8981539646201835,0.4571686210521177,0.9321160901921804
Experiment B (Refined Rules),Random Forest,0.97815,0.9781272926599737,0.9789188764013765,0.9970877614766945,0.9750111059125908,0.9968667637842805
Absolute Difference (B - A),N/A (Random Forest vs XGBoost),0.45255,0.4532066906149633,0.4542473515865355,0.09893379685651105,0.517842484860473,0.06475067359210007
