Model,Accuracy,Precision,Recall,Macro F1,Weighted F1,Specificity,ROC AUC,MCC,Training Time,Prediction Time
XGBoost,0.5256,0.5251482630259366,0.5256,0.524671524814841,0.5249206020450103,0.9321160901921804,0.8981539646201835,0.45716862105211775,7.186980962753296,0.2712728977203369
LightGBM,0.52325,0.5227748807680713,0.52325,0.5224941201553184,0.522690661482866,0.9317884471338352,0.897179449291397,0.4544958228280857,6.974037408828735,0.5697333812713623
Gradient Boosting (BASELINE),0.5227,0.5221751998503015,0.5227,0.5216808121045431,0.5219952334879391,0.9316979854530106,0.8973307154431542,0.45382388769916304,1118.7974245548248,2.3661279678344727
CatBoost,0.51875,0.5188467113995135,0.51875,0.5168805560564306,0.5173935557033745,0.9310921527441508,0.8949382810196548,0.44927637544890653,3.9341704845428467,0.027666091918945312
Random Forest,0.5066,0.5070714093151285,0.5066,0.504525977588371,0.5051941594842508,0.9293335228600921,0.8823792956967896,0.4353086317477555,21.744240045547485,0.2967395782470703
Extra Trees,0.49645,0.49735550864334127,0.49645,0.4927491947391608,0.49413450796899605,0.9278467603298934,0.8801412129000767,0.42369451771461053,2.3485987186431885,0.3943817615509033
