Dataset,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro F1,Specificity,ROC AUC,MCC
Original V2 Test Set,0.97815,0.9787605672234051,0.97815,0.9781272926599737,0.9789188764013765,0.9968667637842805,0.9970877614766945,0.9750111059125908
Independent V2 Validation Set,0.97825,0.9788728020784759,0.97825,0.9782519662954561,0.9790142872603431,0.9968822579186989,0.9968502245369804,0.9751063075082209
Generalization Difference (Val - Test),9.999999999998899e-05,0.0001122348550708363,9.999999999998899e-05,0.0001246736354824085,9.541085896658252e-05,1.549413441837011e-05,-0.000237536939714178,9.520159563014552e-05
