Class,Class Name,Precision,Recall,F1,Support
0,Continue Current Skill,1.0,0.9396648044692737,0.9688940092165899,2685
1,Start Focus Session,0.9698969072164948,0.9857502095557418,0.9777593016004988,2386
2,Take Short Break,0.985996705107084,1.0,0.9929489838241393,2394
3,Practice Coding,0.9947173798203909,0.98380355276907,0.9892303651168899,1914
4,Revision,0.9841137123745819,0.9642271982523212,0.9740689655172414,3662
5,Watch Learning Video,0.9990476190476191,0.9753602975360297,0.9870618677958127,2151
6,Complete Pending Tasks,0.9553846153846154,1.0,0.977183320220299,2484
7,Attempt Quiz,0.9414654113794515,0.9896729776247849,0.9649674847912734,2324
