Model,Feature Set,Accuracy,Precision,Recall,Macro F1,Weighted F1,Specificity,ROC AUC,MCC
XGBoost,Original Features,0.5256,0.5251482630259366,0.5256,0.524671524814841,0.5249206020450103,0.9321160901921804,0.8981539646201835,0.45716862105211775
XGBoost,Engineered Features,0.52425,0.5237886156998157,0.52425,0.5233058611422939,0.5236057145279902,0.9319282519885664,0.8983009981607673,0.45563763665721
CatBoost,Engineered Features,0.51785,0.5178107338636911,0.51785,0.515915420814738,0.5165586751165203,0.9309615168607568,0.8947506707404768,0.4482037422220853
