model_name,accuracy,precision,recall,macro_f1,weighted_f1,specificity,roc_auc,mcc,training_time,prediction_time
Random Forest,0.97815,0.9787605672234051,0.97815,0.9789188764013765,0.9781272926599737,0.9968667637842805,0.9970877614766945,0.9750111059125908,4.647666692733765,0.26863598823547363
LightGBM,0.97755,0.9781252092939622,0.97755,0.9783469576583916,0.9775228498664749,0.9967790054199963,0.9977037671665692,0.9743183702700345,4.5624003410339355,0.09891867637634277
CatBoost,0.9768,0.9773768954807225,0.9768,0.9775896147871121,0.9767611615515521,0.9966741464703119,0.9976136302344745,0.9734632366838857,9.27612590789795,0.014958620071411133
XGBoost,0.9766,0.9771623084040828,0.9766,0.9774149064330147,0.9765650487089038,0.9966399245580574,0.997768952318454,0.9732276613558632,19.73251509666443,0.05342984199523926
Decision Tree,0.95465,0.9546569356808025,0.95465,0.9563320718558028,0.9546342450857617,0.9934402852095755,0.973761140838302,0.9479235098931383,3.2744102478027344,0.014517545700073242
