iter	MultiClass
0	0.6625372636
1	0.4352470155
2	0.3335276629
3	0.2616818746
4	0.2181421046
5	0.1836969837
6	0.1617607373
7	0.1437781331
8	0.1339382857
9	0.1248999262
10	0.1191748942
11	0.1145203701
12	0.1109714608
13	0.1080997247
14	0.1054826187
15	0.1032599367
16	0.101719859
17	0.1006268392
18	0.09948481207
19	0.0988443775
20	0.09846880102
21	0.0979857704
22	0.09728677005
23	0.09666105301
24	0.09637595515
25	0.09602598441
26	0.09560750893
27	0.09528528473
28	0.09504472302
29	0.09459072226
30	0.09402116984
31	0.09382763296
32	0.09343367756
33	0.09325449438
34	0.09305109424
35	0.09283431215
36	0.09240542878
37	0.09218867663
38	0.09200917778
39	0.09181191471
40	0.09161156098
41	0.09147083405
42	0.09123641067
43	0.09072872369
44	0.09062027345
45	0.09035133156
46	0.0901722644
47	0.08985741772
48	0.08971389688
49	0.08942617931
50	0.08926096856
51	0.08918364557
52	0.08905983331
53	0.08887648068
54	0.08870501667
55	0.08855551941
56	0.08828311077
57	0.08809544228
58	0.08799281442
59	0.08780300705
60	0.08770259862
61	0.0874771834
62	0.08723471176
63	0.08696474507
64	0.08681571253
65	0.08662575177
66	0.08653393525
67	0.08641147428
68	0.086165682
69	0.08606430219
70	0.08585407023
71	0.08567740943
72	0.08555029091
73	0.08540440824
74	0.08490966027
75	0.08471694356
76	0.08463021535
77	0.0844548795
78	0.08427387861
79	0.0841205709
80	0.0839519006
81	0.08378691098
82	0.08365510061
83	0.08346886455
84	0.08329714593
85	0.08311544469
86	0.08292351366
87	0.08277190196
88	0.08267138442
89	0.0825325786
90	0.08245016142
91	0.08239928697
92	0.08227327861
93	0.08210537947
94	0.08201396638
95	0.08190389113
96	0.08183660681
97	0.08145169769
98	0.08125726479
99	0.08102241201
100	0.08091457326
101	0.080815905
102	0.08072452519
103	0.08063246195
104	0.08054869936
105	0.0803608022
106	0.08019407213
107	0.08009155494
108	0.07972828003
109	0.0796218132
110	0.07946002464
111	0.07940153296
112	0.07931469299
113	0.07921969965
114	0.07904120535
115	0.0789595618
116	0.07882558434
117	0.07870774543
118	0.07849611847
119	0.07838523882
120	0.07824554684
121	0.07818665594
122	0.07802246674
123	0.07789489565
124	0.07775158987
125	0.07758233897
126	0.07747171681
127	0.07730463049
128	0.07725395779
129	0.07716589529
130	0.07705228672
131	0.07695135571
132	0.07678383435
133	0.07651040368
134	0.07642528358
135	0.07634079359
136	0.07626851676
137	0.07614485258
138	0.07602804837
139	0.07592224998
140	0.07578338414
141	0.07568153463
142	0.07557347607
143	0.07547823219
144	0.07542062194
145	0.075304839
146	0.07524385929
147	0.07507516783
148	0.07493679292
149	0.07480526223
150	0.07467288162
151	0.07448074417
152	0.074204124
153	0.07410898041
154	0.07402376922
155	0.07388121677
156	0.0737867177
157	0.07366325562
158	0.07360555962
159	0.07348775977
160	0.07338834181
161	0.07332687861
162	0.07319592223
163	0.07309924105
164	0.07302372776
165	0.07288196241
166	0.0728263331
167	0.07275176669
168	0.07264076164
169	0.07257449134
170	0.07247619783
171	0.07233364771
172	0.07210384954
173	0.07199102614
174	0.07183739347
175	0.07171359589
176	0.07160746048
177	0.07156618694
178	0.07146622472
179	0.07129426378
180	0.07123271683
181	0.07113224719
182	0.07098458771
183	0.07083570799
184	0.07064076189
185	0.07051990769
186	0.07038929932
187	0.07031540677
188	0.07019203311
189	0.0701149989
190	0.07000240293
191	0.06989439063
192	0.06980672722
193	0.06966626391
194	0.06952139974
195	0.0694796444
196	0.06940460388
197	0.06930200199
198	0.0691720105
199	0.06899062446
