class_id,class_name,sample_size_n,mean_pre_prod_mins,mean_post_prod_mins,mean_productive_change_mins,mean_distraction_change_mins,mean_post_24h_tasks,mean_post_24h_focus,accepted_n,accepted_mean_prod_change,non_accepted_n,non_accepted_mean_prod_change
0,"Continue Current Skill",23,1.16,2.79,1.63,0.04,0.00,1.22,3,5.00,20,1.12
1,"Start Focus Session",3,6.67,11.67,5.00,0.00,0.00,6.00,3,5.00,0,N/A
2,"Take Short Break",3,20.00,15.00,-5.00,0.00,0.00,3.00,1,-5.00,2,-5.00
3,"Practice Coding",4,8.38,0.89,-7.49,0.11,0.00,0.50,0,N/A,4,-7.49
4,"Revision",0,0.00,0.00,0.00,0.00,0.00,0.00,0,N/A,0,N/A
5,"Watch Learning Video",1,15.00,15.00,0.00,0.00,0.00,6.00,0,N/A,1,0.00
6,"Complete Pending Tasks",0,0.00,0.00,0.00,0.00,0.00,0.00,0,N/A,0,N/A
7,"Attempt Quiz",0,0.00,0.00,0.00,0.00,0.00,0.00,0,N/A,0,N/A
