class_id,class_name,sample_size_n,mean_confidence,median_confidence,min_confidence,max_confidence,high_confidence_accepted_rate_pct
0,"Continue Current Skill",23,0.28,0.28,0.25,0.29,0.00
1,"Start Focus Session",3,0.88,0.88,0.88,0.88,100.00
2,"Take Short Break",3,0.32,0.32,0.32,0.32,0.00
3,"Practice Coding",4,0.33,0.33,0.32,0.34,0.00
4,"Revision",0,0.00,0.00,0.00,0.00,0.00
5,"Watch Learning Video",1,0.23,0.23,0.23,0.23,0.00
6,"Complete Pending Tasks",0,0.00,0.00,0.00,0.00,0.00
7,"Attempt Quiz",0,0.00,0.00,0.00,0.00,0.00
